"","Customer","TransDate","Quantity","PurchAmount","Cost","TransID"
"205",192188,"09.09.2010",1,59.95,20.93,131226011
"206",159424,"12.04.2010",1,39.95,16.23,128337832
"207",134972,"14.12.2008",1,29.95,18.5,126246064
"208",129294,"07.09.2008",1,29.95,12.35,128855056
"209",185912,"14.08.2012",1,199.95,66,129545783
"210",115029,"12.07.2006",1,49.95,22,124992090
"211",189130,"06.06.2012",1,19.95,9.5,130055683
"212",194987,"03.09.2011",1,39.95,20.99,131472388
"213",174250,"28.10.2008",1,129.95,43.7,128942633
"214",192574,"22.10.2010",1,169.95,72,131264277
"215",156975,"11.10.2006",1,24.95,9.85,128267394
"216",135762,"24.12.2008",1,49.95,21.56,126291011
"217",114101,"30.11.2006",1,149.95,70.81,124947981
"218",105220,"19.05.2012",1,19.95,9.5,129414970
"219",144865,"30.12.2009",1,299.95,103.89,127852620
"220",155611,"18.11.2010",1,99.95,46.8,128248747
"221",169459,"15.12.2009",1,199.95,102.25,131039686
"222",122613,"16.11.2009",1,29.95,20,127626361
"223",128972,"11.06.2008",1,109.95,50.93,126055198
"224",164510,"17.10.2007",1,59.95,24.5,128555350
"225",181883,"04.01.2011",1,249.95,147.5,131488741
"226",186383,"01.08.2010",1,149.95,33.6,129979010
"227",101543,"13.06.2005",1,24.95,9,124353587
"228",149853,"06.06.2010",1,24.95,10.25,128015588
"229",114610,"12.05.2006",1,24.95,10.75,124972936
"230",115245,"12.09.2006",1,59.95,28.5,125003596
"231",143792,"14.12.2009",1,439.95,261.15,127796663
"232",138035,"22.06.2009",1,329.95,174.54,126484587
"233",100329,"25.12.2004",1,159.95,108.87,124293452
"234",171382,"16.05.2008",1,39.95,13.95,128814256
"235",194261,"13.12.2010",6,179.7,89.58,131392838
"236",175151,"16.11.2008",1,69.95,27,128975791
"237",118122,"24.04.2012",1,159.95,90,129372008
"238",192314,"25.09.2010",1,59.95,30,131238571
"239",120767,"25.10.2007",1,179.95,80,125384026
"240",104831,"20.11.2005",1,89.95,40,124438320
"241",197849,"12.10.2011",1,79.95,40,131754620
"242",154392,"15.06.2006",1,24.95,10,128172052
"243",190123,"12.03.2009",1,129.95,63.08,131003165
"244",174984,"04.02.2010",1,39.95,19.5,131122306
"245",110251,"05.05.2006",1,69.95,34.38,124691417
"246",170210,"25.02.2008",1,49.95,16.65,128759501
"247",126904,"22.02.2008",1,99.95,53,125727102
"248",199128,"07.02.2012",1,119.95,65,131922311
"249",106124,"17.03.2009",1,29.95,11.25,129142082
"250",164011,"16.05.2011",1,49.95,24,131515845
"251",183552,"18.03.2012",1,21.95,7.53,129326728
"252",133370,"12.02.2008",1,99.95,39.96,126161760
"253",145259,"14.02.2005",1,64.95,51.5,127865709
"254",120949,"30.10.2007",1,59.95,19.19,125393796
"255",197173,"25.11.2011",1,99.95,40.16,131698787
"256",122995,"12.02.2007",1,49.95,23.75,125506218
"257",136211,"22.03.2009",1,69.95,35,126383928
